Name,Symbol,Price,Market Cap,Volume
Bitcoin,btc,70697.0,1414078524334,25395916638.0
Ethereum,eth,2083.63,251456175622,8953450809.0
Tether,usdt,1.0,184033469865,40838857043.0
BNB,bnb,653.48,89106525815,585542298.0
XRP,xrp,1.39,85263394886,1271996738.0
USDC,usdc,1.0,79189370390,2076599092.0
Solana,sol,87.01,49700759034,1994269101.0
TRON,trx,0.297224,28159633441,521142448.0
Figure Heloc,figr_heloc,1.003,15894484690,8050374.0
Dogecoin,doge,0.09485,14550914989,803788996.0
WhiteBIT Coin,wbt,55.33,11808992982,26398596.0
USDS,usds,0.999953,11260343078,20202713.0
Cardano,ada,0.25921,9547243526,344495101.0
Bitcoin Cash,bch,464.12,9285925240,147840181.0
Hyperliquid,hype,37.87,9041923683,274784079.0
LEO Token,leo,9.07,8358667270,452936.0
Monero,xmr,356.67,6578292971,107806332.0
Chainlink,link,9.04,6400851986,275894572.0
Ethena USDe,usde,1.0,5921462280,39215432.0
Canton,cc,0.15112,5750931024,7770015.0
Stellar,xlm,0.163772,5407187692,77084513.0
USD1,usd1,0.999309,4590291870,618374271.0
Rain,rain,0.00901305,4308982803,20399475.0
Dai,dai,0.999838,4270643759,142453638.0
Litecoin,ltc,54.57,4198736630,264242337.0
Avalanche,avax,9.58,4138037198,171313796.0
PayPal USD,pyusd,1.0,4131910383,45460329.0
Hedera,hbar,0.091943,3981408413,73875294.0
Sui,sui,0.988481,3853975517,298742675.0
Zcash,zec,209.78,3482935691,218200678.0
Shiba Inu,shib,5.84e-06,3439157318,78384597.0
Toncoin,ton,1.3,3198893784,82939771.0
Cronos,cro,0.077411,3181882776,8278375.0
World Liberty Financial,wlfi,0.103336,2858354314,62297943.0
Tether Gold,xaut,4991.12,2817979615,124771723.0
MemeCore,m,1.52,2652843331,7070483.0
Mantle,mnt,0.779066,2551665697,91559561.0
PAX Gold,paxg,5021.9,2512781468,111323756.0
Uniswap,uni,3.91,2480041026,154030268.0
Polkadot,dot,1.41,2358356174,91312586.0
Bittensor,tao,244.01,2341701111,207483323.0
Circle USYC,usyc,1.12,2310904537,99.62
OKB,okb,96.49,2026272959,29231310.0
BlackRock USD Institutional Digital Liquidity Fund,buidl,1.0,1995324276,0.0
Pi Network,pi,0.198318,1921211587,93061238.0
Global Dollar,usdg,1.0,1767569514,17382652.0
Falcon USD,usdf,0.997388,1749024127,463868.0
Aster,aster,0.708666,1741137165,103406276.0
NEAR Protocol,near,1.3,1682039663,102068812.0
Aave,aave,110.32,1675603216,222707004.0
